אֵ֣לֶּה,0
הַדְּבָרִ֗ים,1
אֲשֶׁ֨ר,2
דִּבֶּ֤ר,3
מֹשֶׁה֙,4
אֶל,5
כׇּל,98202
יִשְׂרָאֵ֔ל,7
בְּעֵ֖בֶר,8
הַיַּרְדֵּ֑ן,9
בַּמִּדְבָּ֡ר,10
בָּֽעֲרָבָה֩,11
מ֨וֹל,12
ס֜וּף,13
בֵּֽין,14
פָּארָ֧ן,15
וּבֵֽין,16
תֹּ֛פֶל,17
וְלָבָ֥ן,18
וַחֲצֵרֹ֖ת,19
וְדִ֥י,20
זָהָֽב,20677
אַחַ֨ד,22
עָשָׂ֥ר,23
יוֹם֙,24
מֵֽחֹרֵ֔ב,25
דֶּ֖רֶךְ,26
הַר,27
שֵׂעִ֑יר,28
עַ֖ד,29
קָדֵ֥שׁ,30
בַּרְנֵֽעַ,72612
וַיְהִי֙,32
בְּאַרְבָּעִ֣ים,33
שָׁנָ֔ה,34
בְּעַשְׁתֵּֽי,35
חֹ֖דֶשׁ,36
בְּאֶחָ֣ד,37
לַחֹ֑דֶשׁ,38
בְּנֵ֣י,39
כְּ֠כֹל,40
צִוָּ֧ה,41
יְהוָ֛ה,42
אֹת֖וֹ,43
אֲלֵהֶֽם,44
אַחֲרֵ֣י,45
הַכֹּת֗וֹ,46
אֵ֚ת,47
סִיחֹן֙,48
מֶ֣לֶךְ,45364
הָֽאֱמֹרִ֔י,50
אֲשֶׁ֥ר,51
יוֹשֵׁ֖ב,52
בְּחֶשְׁבּ֑וֹן,53
וְאֵ֗ת,54
ע֚וֹג,55
הַבָּשָׁ֔ן,56
אֲשֶׁר,57
יוֹשֵׁ֥ב,58
בְּעַשְׁתָּרֹ֖ת,59
בְּאֶדְרֶֽעִי,60
בְּעֵ֥בֶר,61
הַיַּרְדֵּ֖ן,62
בְּאֶ֣רֶץ,63
מוֹאָ֑ב,97107
הוֹאִ֣יל,65
מֹשֶׁ֔ה,66
בֵּאֵ֛ר,67
אֶת,68
הַתּוֹרָ֥ה,69
הַזֹּ֖את,70
לֵאמֹֽר,71
יְהוָ֧ה,72
אֱלֹהֵ֛ינוּ,73
דִּבֶּ֥ר,74
אֵלֵ֖ינוּ,75
בְּחֹרֵ֣ב,76
לֵאמֹ֑ר,77
רַב,44758
לָכֶ֥ם,79
שֶׁ֖בֶת,80
בָּהָ֥ר,81
הַזֶּֽה,82
פְּנ֣וּ,83
וּסְע֣וּ,84
לָכֶ֗ם,85
וּבֹ֨אוּ,86
הַ֥ר,87
הָֽאֱמֹרִי֮,88
וְאֶל,89
שְׁכֵנָיו֒,90
בָּעֲרָבָ֥ה,91
בָהָ֛ר,92
וּבַשְּׁפֵלָ֥ה,93
וּבַנֶּ֖גֶב,94
וּבְח֣וֹף,95
הַיָּ֑ם,96
אֶ֤רֶץ,97
הַֽכְּנַעֲנִי֙,98
וְהַלְּבָנ֔וֹן,99
עַד,100
הַנָּהָ֥ר,101
הַגָּדֹ֖ל,102
נְהַר,103
פְּרָֽת,104
רְאֵ֛ה,105
נָתַ֥תִּי,106
לִפְנֵיכֶ֖ם,107
הָאָ֑רֶץ,108
בֹּ֚אוּ,109
וּרְשׁ֣וּ,110
הָאָ֔רֶץ,111
אֲשֶׁ֣ר,112
נִשְׁבַּ֣ע,113
יְ֠הוָה,114
לַאֲבֹ֨תֵיכֶ֜ם,115
לְאַבְרָהָ֨ם,116
לְיִצְחָ֤ק,117
וּֽלְיַעֲקֹב֙,118
לָתֵ֣ת,119
לָהֶ֔ם,120
וּלְזַרְעָ֖ם,121
אַחֲרֵיהֶֽם,122
וָאֹמַ֣ר,123
אֲלֵכֶ֔ם,124
בָּעֵ֥ת,125
הַהִ֖וא,126
לֹא,127
אוּכַ֥ל,128
לְבַדִּ֖י,129
שְׂאֵ֥ת,130
אֶתְכֶֽם,131
יְהוָ֥ה,132
אֱלֹהֵיכֶ֖ם,133
הִרְבָּ֣ה,134
אֶתְכֶ֑ם,135
וְהִנְּכֶ֣ם,136
הַיּ֔וֹם,137
כְּכוֹכְבֵ֥י,138
הַשָּׁמַ֖יִם,139
לָרֹֽב,140
יְהוָ֞ה,141
אֱלֹהֵ֣י,142
אֲבֽוֹתֵכֶ֗ם,143
יֹסֵ֧ף,144
עֲלֵיכֶ֛ם,145
כָּכֶ֖ם,146
אֶ֣לֶף,147
פְּעָמִ֑ים,148
וִיבָרֵ֣ךְ,149
אֶתְכֶ֔ם,150
כַּאֲשֶׁ֖ר,151
לָכֶֽם,152
אֵיכָ֥ה,153
אֶשָּׂ֖א,154
לְבַדִּ֑י,155
טׇרְחֲכֶ֥ם,156
וּמַֽשַּׂאֲכֶ֖ם,157
וְרִֽיבְכֶֽם,158
הָב֣וּ,159
לָ֠כֶם,160
אֲנָשִׁ֨ים,161
חֲכָמִ֧ים,162
וּנְבֹנִ֛ים,163
וִידֻעִ֖ים,164
לְשִׁבְטֵיכֶ֑ם,165
וַאֲשִׂימֵ֖ם,166
בְּרָאשֵׁיכֶֽם,167
וַֽתַּעֲנ֖וּ,168
אֹתִ֑י,169
וַתֹּ֣אמְר֔וּ,170
טֽוֹב,171
הַדָּבָ֥ר,172
דִּבַּ֖רְתָּ,173
לַעֲשֽׂוֹת,174
